device,condition,frame,quality_template_corr,quality_gate_passed,orientation_margin,orientation_gate_passed,pose_initial_corr,pose_final_corr,pose_refined,pose_attempted,pose_gate_passed,pose_angle_deg,pose_scale,pose_tx32,pose_ty32,raw_mismatch_bits,raw_hd,observed_ones,observed_uniformity_percent,decoder_attempted,decoder_converged,decoder_iterations,unsatisfied_checks,estimated_error_bits,exact_reference_recovered,accepted,outcome_stage
M1,M1_10mA_30C_0,frame_0089.png,0.8250205516815186,True,,True,0.8250205516815186,0.8250205516815186,False,False,True,0.0,1.0,0.0,0.0,0,0.0,1022,49.90234375,True,True,0,0,0,True,True,accepted
M1,M1_10mA_30C_0,frame_0092.png,0.8293808698654175,True,,True,0.8293808698654175,0.8293808698654175,False,False,True,0.0,1.0,0.0,0.0,0,0.0,1022,49.90234375,True,True,0,0,0,True,True,accepted
M1,M1_10mA_30C_0,frame_0093.png,0.8021900057792664,True,,True,0.8021900057792664,0.8021900057792664,False,False,True,0.0,1.0,0.0,0.0,0,0.0,1022,49.90234375,True,True,0,0,0,True,True,accepted
M1,M1_10mA_30C_0,frame_0114.png,0.795174241065979,True,,True,0.795174241065979,0.795174241065979,False,False,True,0.0,1.0,0.0,0.0,0,0.0,1022,49.90234375,True,True,0,0,0,True,True,accepted
M1,M1_10mA_30C_0,frame_0118.png,0.8332133889198303,True,,True,0.8332133889198303,0.8332133889198303,False,False,True,0.0,1.0,0.0,0.0,0,0.0,1022,49.90234375,True,True,0,0,0,True,True,accepted
M1,M1_10mA_30C_0,frame_0121.png,0.8325521349906921,True,,True,0.8325521349906921,0.8325521349906921,False,False,True,0.0,1.0,0.0,0.0,0,0.0,1022,49.90234375,True,True,0,0,0,True,True,accepted
M1,M1_10mA_30C_0,frame_0123.png,0.8263028264045715,True,,True,0.8263028264045715,0.8263028264045715,False,False,True,0.0,1.0,0.0,0.0,0,0.0,1022,49.90234375,True,True,0,0,0,True,True,accepted
M1,M1_10mA_30C_0,frame_0129.png,0.8164250254631042,True,,True,0.8164250254631042,0.8164250254631042,False,False,True,0.0,1.0,0.0,0.0,0,0.0,1022,49.90234375,True,True,0,0,0,True,True,accepted
M1,M1_10mA_30C_0,frame_0132.png,0.8313167095184326,True,,True,0.8313167095184326,0.8313167095184326,False,False,True,0.0,1.0,0.0,0.0,0,0.0,1022,49.90234375,True,True,0,0,0,True,True,accepted
M1,M1_10mA_30C_0,frame_0140.png,0.7921801209449768,True,,True,0.7921801209449768,0.7921801209449768,False,False,True,0.0,1.0,0.0,0.0,1,0.00048828125,1023,49.951171875,True,True,1,0,1,True,True,accepted
M1,M1_10mA_30C_0,frame_0142.png,0.816835880279541,True,,True,0.816835880279541,0.816835880279541,False,False,True,0.0,1.0,0.0,0.0,0,0.0,1022,49.90234375,True,True,0,0,0,True,True,accepted
M1,M1_10mA_30C_0,frame_0144.png,0.8221124410629272,True,,True,0.8221124410629272,0.8221124410629272,False,False,True,0.0,1.0,0.0,0.0,0,0.0,1022,49.90234375,True,True,0,0,0,True,True,accepted
M1,M1_10mA_30C_0,frame_0148.png,0.8111100196838379,True,,True,0.8111100196838379,0.8111100196838379,False,False,True,0.0,1.0,0.0,0.0,0,0.0,1022,49.90234375,True,True,0,0,0,True,True,accepted
M1,M1_10mA_30C_0,frame_0152.png,0.8240274786949158,True,,True,0.8240274786949158,0.8240274786949158,False,False,True,0.0,1.0,0.0,0.0,0,0.0,1022,49.90234375,True,True,0,0,0,True,True,accepted
M1,M1_10mA_30C_0,frame_0154.png,0.8100701570510864,True,,True,0.8100701570510864,0.8100701570510864,False,False,True,0.0,1.0,0.0,0.0,0,0.0,1022,49.90234375,True,True,0,0,0,True,True,accepted
M1,M1_10mA_30C_0,frame_0155.png,0.7763500809669495,True,,True,0.7763500809669495,0.7763500809669495,False,False,True,0.0,1.0,0.0,0.0,43,0.02099609375,1023,49.951171875,True,True,1,0,43,True,True,accepted
M1,M1_10mA_30C_0,frame_0161.png,0.8161537647247314,True,,True,0.8161537647247314,0.8161537647247314,False,False,True,0.0,1.0,0.0,0.0,0,0.0,1022,49.90234375,True,True,0,0,0,True,True,accepted
M1,M1_10mA_30C_0,frame_0162.png,0.7715044617652893,True,,True,0.7715044617652893,0.7715044617652893,False,False,True,0.0,1.0,0.0,0.0,0,0.0,1022,49.90234375,True,True,0,0,0,True,True,accepted
M1,M1_10mA_30C_0,frame_0165.png,0.8075271248817444,True,,True,0.8075271248817444,0.8075271248817444,False,False,True,0.0,1.0,0.0,0.0,0,0.0,1022,49.90234375,True,True,0,0,0,True,True,accepted
M1,M1_10mA_30C_0,frame_0166.png,0.8143627047538757,True,,True,0.8143627047538757,0.8143627047538757,False,False,True,0.0,1.0,0.0,0.0,0,0.0,1022,49.90234375,True,True,0,0,0,True,True,accepted
M1,M1_10mA_30C_0,frame_0168.png,0.8250537514686584,True,,True,0.8250537514686584,0.8250537514686584,False,False,True,0.0,1.0,0.0,0.0,0,0.0,1022,49.90234375,True,True,0,0,0,True,True,accepted
M1,M1_10mA_30C_0,frame_0170.png,0.7936391234397888,True,,True,0.7936391234397888,0.7936391234397888,False,False,True,0.0,1.0,0.0,0.0,1,0.00048828125,1023,49.951171875,True,True,1,0,1,True,True,accepted
M1,M1_10mA_30C_0,frame_0174.png,0.7830417156219482,True,,True,0.7830417156219482,0.7830417156219482,False,False,True,0.0,1.0,0.0,0.0,2,0.0009765625,1024,50.0,True,True,1,0,2,True,True,accepted
M1,M1_10mA_30C_0,frame_0175.png,0.8274917006492615,True,,True,0.8274917006492615,0.8274917006492615,False,False,True,0.0,1.0,0.0,0.0,0,0.0,1022,49.90234375,True,True,0,0,0,True,True,accepted
M1,M1_10mA_30C_0,frame_0176.png,0.8247671723365784,True,,True,0.8247671723365784,0.8247671723365784,False,False,True,0.0,1.0,0.0,0.0,0,0.0,1022,49.90234375,True,True,0,0,0,True,True,accepted
M1,M1_10mA_30C_0,frame_0180.png,0.8131779432296753,True,,True,0.8131779432296753,0.8131779432296753,False,False,True,0.0,1.0,0.0,0.0,7,0.00341796875,1025,50.048828125,True,True,1,0,7,True,True,accepted
M1,M1_10mA_30C_0,frame_0187.png,0.7780683636665344,True,,True,0.7780683636665344,0.7780683636665344,False,False,True,0.0,1.0,0.0,0.0,93,0.04541015625,1011,49.365234375,True,True,2,0,93,True,True,accepted
M1,M1_10mA_30C_0,frame_0192.png,0.8043378591537476,True,,True,0.8043378591537476,0.8043378591537476,False,False,True,0.0,1.0,0.0,0.0,0,0.0,1022,49.90234375,True,True,0,0,0,True,True,accepted
M1,M1_10mA_30C_0,frame_0194.png,0.8046225905418396,True,,True,0.8046225905418396,0.8046225905418396,False,False,True,0.0,1.0,0.0,0.0,0,0.0,1022,49.90234375,True,True,0,0,0,True,True,accepted
M1,M1_10mA_40C_0,frame_0032.png,0.809740424156189,True,,True,0.809740424156189,0.809740424156189,False,False,True,0.0,1.0,0.0,0.0,0,0.0,1022,49.90234375,True,True,0,0,0,True,True,accepted
M1,M1_10mA_40C_0,frame_0033.png,0.8227976560592651,True,,True,0.8227976560592651,0.8227976560592651,False,False,True,0.0,1.0,0.0,0.0,0,0.0,1022,49.90234375,True,True,0,0,0,True,True,accepted
M1,M1_10mA_40C_0,frame_0038.png,0.8200485110282898,True,,True,0.8200485110282898,0.8200485110282898,False,False,True,0.0,1.0,0.0,0.0,0,0.0,1022,49.90234375,True,True,0,0,0,True,True,accepted
M1,M1_10mA_40C_0,frame_0039.png,0.8048843145370483,True,,True,0.8048843145370483,0.8048843145370483,False,False,True,0.0,1.0,0.0,0.0,0,0.0,1022,49.90234375,True,True,0,0,0,True,True,accepted
